symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
GPC,126.81,3,"1,111,623",true,126.81,124.96,Price ($126.81) is above the 20-day EMA ($124.96),true,126.81,121.22,Price ($126.81) is above the 100-day EMA ($121.22),false,57.4,50.0,RSI (57.4) is above the threshold (50),true,126.81,126.52,Current price ($126.81) is above last week's close ($126.52),false,2.41,2.38,3-day ATR (2.41) is higher than 6-day ATR (2.38),2025-06-04T19:38:40,0
CFG,40.30,1,"4,376,531",true,40.30,40.01,Price ($40.30) is above the 20-day EMA ($40.01),false,40.30,41.14,Price ($40.30) is below the 100-day EMA ($41.14),false,52.1,50.0,RSI (52.1) is above the threshold (50),false,40.30,40.35,Current price ($40.30) is below last week's close ($40.35),false,0.99,0.85,3-day ATR (0.99) is higher than 6-day ATR (0.85),2025-06-04T19:39:03,0
BALL,53.44,2,"3,125,747",true,53.44,52.78,Price ($53.44) is above the 20-day EMA ($52.78),true,53.44,52.68,Price ($53.44) is above the 100-day EMA ($52.68),false,56.3,50.0,RSI (56.3) is above the threshold (50),false,53.44,53.58,Current price ($53.44) is below last week's close ($53.58),false,1.47,1.15,3-day ATR (1.46) is higher than 6-day ATR (1.15),2025-06-04T19:39:17,0
HOLX,62.81,4,"5,064,337",true,62.81,59.46,Price ($62.81) is above the 20-day EMA ($59.46),true,62.81,62.47,Price ($62.81) is above the 100-day EMA ($62.47),false,64.3,50.0,RSI (64.3) is above the threshold (50),true,62.81,62.17,Current price ($62.81) is above last week's close ($62.17),true,1.64,1.65,3-day ATR (1.64) is lower than 6-day ATR (1.65),2025-06-04T19:39:30,0
HAL,19.99,2,"16,360,615",false,19.99,20.32,Price ($19.99) is below the 20-day EMA ($20.32),false,19.99,23.26,Price ($19.99) is below the 100-day EMA ($23.26),true,46.9,50.0,RSI (46.9) is below the threshold (50),true,19.99,19.59,Current price ($19.99) is above last week's close ($19.59),false,0.80,0.66,3-day ATR (0.80) is higher than 6-day ATR (0.66),2025-06-04T19:38:51,0
ITW,247.43,2,"917,903",true,247.43,244.86,Price ($247.43) is above the 20-day EMA ($244.86),false,247.43,249.28,Price ($247.43) is below the 100-day EMA ($249.28),false,55.8,50.0,RSI (55.8) is above the threshold (50),true,247.43,245.08,Current price ($247.43) is above last week's close ($245.08),false,3.81,3.50,3-day ATR (3.81) is higher than 6-day ATR (3.50),2025-06-04T19:31:32,0
ALL,207.76,2,"1,233,219",true,207.76,205.82,Price ($207.76) is above the 20-day EMA ($205.82),true,207.76,199.87,Price ($207.76) is above the 100-day EMA ($199.87),false,57.2,50.0,RSI (57.2) is above the threshold (50),false,207.76,209.87,Current price ($207.76) is below last week's close ($209.87),false,5.52,4.65,3-day ATR (5.52) is higher than 6-day ATR (4.65),2025-06-04T19:32:09,0
USB,43.95,3,"6,653,756",true,43.95,43.25,Price ($43.95) is above the 20-day EMA ($43.25),true,43.95,43.85,Price ($43.95) is above the 100-day EMA ($43.85),false,57.3,50.0,RSI (57.3) is above the threshold (50),true,43.95,43.59,Current price ($43.95) is above last week's close ($43.59),false,0.89,0.76,3-day ATR (0.89) is higher than 6-day ATR (0.76),2025-06-04T19:32:19,0
EXPD,111.93,1,"1,359,038",false,111.93,112.71,Price ($111.93) is below the 20-day EMA ($112.71),false,111.93,113.77,Price ($111.93) is below the 100-day EMA ($113.77),true,46.1,50.0,RSI (46.1) is below the threshold (50),false,111.93,112.73,Current price ($111.93) is below last week's close ($112.73),false,2.12,1.95,3-day ATR (2.12) is higher than 6-day ATR (1.95),2025-06-04T19:39:06,0
CLX,130.20,1,"1,573,126",false,130.20,133.09,Price ($130.20) is below the 20-day EMA ($133.09),false,130.20,144.24,Price ($130.20) is below the 100-day EMA ($144.24),true,42.0,50.0,RSI (42.0) is below the threshold (50),false,130.20,131.88,Current price ($130.20) is below last week's close ($131.88),false,1.80,1.75,3-day ATR (1.80) is higher than 6-day ATR (1.75),2025-06-04T19:39:18,0
