symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
DAY,59.81,2,"2,403,735",true,59.81,58.34,Price ($59.81) is above the 20-day EMA ($58.34),false,59.81,61.08,Price ($59.81) is below the 100-day EMA ($61.08),false,58.9,50.0,RSI (58.9) is above the threshold (50),true,59.81,59.08,Current price ($59.81) is above last week's close ($59.08),false,1.45,1.43,3-day ATR (1.45) is higher than 6-day ATR (1.43),2025-06-04T19:39:44,0
DUK,116.89,2,"3,429,643",false,116.89,117.09,Price ($116.89) is below the 20-day EMA ($117.09),true,116.89,116.75,Price ($116.89) is above the 100-day EMA ($116.75),false,54.3,50.0,RSI (54.3) is above the threshold (50),false,116.89,117.72,Current price ($116.89) is below last week's close ($117.72),true,1.85,2.20,3-day ATR (1.85) is lower than 6-day ATR (2.20),2025-06-04T19:28:44,0
PEP,132.09,1,"8,580,506",false,132.09,132.10,Price ($132.09) is below the 20-day EMA ($132.10),false,132.09,141.80,Price ($132.09) is below the 100-day EMA ($141.80),false,56.6,50.0,RSI (56.6) is above the threshold (50),true,132.09,131.45,Current price ($132.09) is above last week's close ($131.45),false,2.14,1.90,3-day ATR (2.14) is higher than 6-day ATR (1.90),2025-06-04T19:28:44,0
AMGN,287.53,2,"2,801,178",true,287.53,280.60,Price ($287.53) is above the 20-day EMA ($280.60),true,287.53,285.93,Price ($287.53) is above the 100-day EMA ($285.93),false,66.3,50.0,RSI (66.3) is above the threshold (50),false,287.53,288.18,Current price ($287.53) is below last week's close ($288.18),false,6.55,6.26,3-day ATR (6.55) is higher than 6-day ATR (6.26),2025-06-04T19:28:45,0
ABBV,188.25,4,"5,288,787",true,188.25,185.84,Price ($188.25) is above the 20-day EMA ($185.84),true,188.25,187.35,Price ($188.25) is above the 100-day EMA ($187.35),false,59.5,50.0,RSI (59.5) is above the threshold (50),true,188.25,186.11,Current price ($188.25) is above last week's close ($186.11),true,3.56,3.69,3-day ATR (3.56) is lower than 6-day ATR (3.69),2025-06-04T19:28:47,0
MRK,78.38,3,"12,744,423",true,78.38,77.75,Price ($78.38) is above the 20-day EMA ($77.75),false,78.38,85.16,Price ($78.38) is below the 100-day EMA ($85.16),false,58.8,50.0,RSI (58.8) is above the threshold (50),true,78.38,76.84,Current price ($78.38) is above last week's close ($76.84),true,1.79,1.80,3-day ATR (1.79) is lower than 6-day ATR (1.80),2025-06-04T19:28:48,0
CRWD,464.41,2,"5,104,688",true,464.41,451.35,Price ($464.41) is above the 20-day EMA ($451.35),true,464.41,402.58,Price ($464.41) is above the 100-day EMA ($402.58),false,52.5,50.0,RSI (52.5) is above the threshold (50),false,464.41,471.37,Current price ($464.41) is below last week's close ($471.37),false,23.90,19.09,3-day ATR (23.90) is higher than 6-day ATR (19.09),2025-06-04T19:28:48,0
NEE,70.25,3,"14,887,636",true,70.25,69.82,Price ($70.25) is above the 20-day EMA ($69.82),true,70.25,70.19,Price ($70.25) is above the 100-day EMA ($70.19),false,55.0,50.0,RSI (55.0) is above the threshold (50),false,70.25,70.64,Current price ($70.25) is below last week's close ($70.64),true,1.34,1.64,3-day ATR (1.34) is lower than 6-day ATR (1.64),2025-06-04T19:28:49,0
AVGO,261.05,3,"20,657,432",true,261.05,232.36,Price ($261.05) is above the 20-day EMA ($232.36),true,261.05,205.19,Price ($261.05) is above the 100-day EMA ($205.19),false,81.7,50.0,RSI (81.7) is above the threshold (50),true,261.05,242.07,Current price ($261.05) is above last week's close ($242.07),false,8.56,8.20,3-day ATR (8.56) is higher than 6-day ATR (8.20),2025-06-04T19:28:51,0
APD,281.45,3,"1,211,199",true,281.45,275.21,Price ($281.45) is above the 20-day EMA ($275.21),false,281.45,287.81,Price ($281.45) is below the 100-day EMA ($287.81),false,62.9,50.0,RSI (62.9) is above the threshold (50),true,281.45,278.91,Current price ($281.45) is above last week's close ($278.91),true,4.94,5.58,3-day ATR (4.94) is lower than 6-day ATR (5.58),2025-06-04T19:31:56,0
KMI,28.16,3,"12,563,865",true,28.16,27.84,Price ($28.16) is above the 20-day EMA ($27.84),true,28.16,27.44,Price ($28.16) is above the 100-day EMA ($27.44),false,55.1,50.0,RSI (55.1) is above the threshold (50),true,28.16,28.04,Current price ($28.16) is above last week's close ($28.04),false,0.62,0.52,3-day ATR (0.62) is higher than 6-day ATR (0.52),2025-06-04T19:32:17,0
PNR,100.14,3,"1,126,716",true,100.14,97.29,Price ($100.14) is above the 20-day EMA ($97.29),true,100.14,94.54,Price ($100.14) is above the 100-day EMA ($94.54),false,61.2,50.0,RSI (61.2) is above the threshold (50),true,100.14,99.18,Current price ($100.14) is above last week's close ($99.18),false,1.33,1.33,3-day ATR (1.33) is higher than 6-day ATR (1.33),2025-06-04T19:38:59,0
HRL,30.77,4,"3,661,728",true,30.77,30.15,Price ($30.77) is above the 20-day EMA ($30.15),true,30.77,29.96,Price ($30.77) is above the 100-day EMA ($29.96),false,63.5,50.0,RSI (63.4) is above the threshold (50),true,30.77,30.68,Current price ($30.77) is above last week's close ($30.68),true,0.48,0.72,3-day ATR (0.48) is lower than 6-day ATR (0.72),2025-06-04T19:39:14,0
BAX,29.96,1,"3,083,313",false,29.96,30.49,Price ($29.96) is below the 20-day EMA ($30.49),false,29.96,31.35,Price ($29.96) is below the 100-day EMA ($31.35),true,42.5,50.0,RSI (42.5) is below the threshold (50),false,29.96,30.50,Current price ($29.96) is below last week's close ($30.50),false,0.91,0.79,3-day ATR (0.91) is higher than 6-day ATR (0.79),2025-06-04T19:39:28,0
UDR,41.20,0,"2,410,598",false,41.20,41.31,Price ($41.20) is below the 20-day EMA ($41.31),false,41.20,42.33,Price ($41.20) is below the 100-day EMA ($42.33),false,50.8,50.0,RSI (50.8) is above the threshold (50),false,41.20,41.43,Current price ($41.20) is below last week's close ($41.43),false,0.75,0.72,3-day ATR (0.75) is higher than 6-day ATR (0.72),2025-06-04T19:39:34,0
MAS,63.52,2,"1,938,554",true,63.52,63.37,Price ($63.52) is above the 20-day EMA ($63.37),false,63.52,67.89,Price ($63.52) is below the 100-day EMA ($67.89),false,52.8,50.0,RSI (52.8) is above the threshold (50),true,63.52,62.42,Current price ($63.52) is above last week's close ($62.42),false,1.67,1.55,3-day ATR (1.67) is higher than 6-day ATR (1.56),2025-06-04T19:39:38,0
BG,75.02,1,"1,754,864",false,75.02,78.32,Price ($75.02) is below the 20-day EMA ($78.32),false,75.02,78.33,Price ($75.02) is below the 100-day EMA ($78.33),true,28.0,50.0,RSI (28.0) is below the threshold (50),false,75.02,78.15,Current price ($75.02) is below last week's close ($78.15),false,1.99,1.73,3-day ATR (1.99) is higher than 6-day ATR (1.73),2025-06-04T19:39:44,0
MOS,36.81,3,"4,142,772",true,36.81,34.71,Price ($36.81) is above the 20-day EMA ($34.71),true,36.81,29.51,Price ($36.81) is above the 100-day EMA ($29.51),false,68.7,50.0,RSI (68.7) is above the threshold (50),true,36.81,36.14,Current price ($36.81) is above last week's close ($36.14),false,0.93,0.73,3-day ATR (0.93) is higher than 6-day ATR (0.73),2025-06-04T19:39:45,0
CPB,34.28,2,"5,067,940",false,34.28,34.77,Price ($34.28) is below the 20-day EMA ($34.77),false,34.28,37.69,Price ($34.28) is below the 100-day EMA ($37.69),true,49.6,50.0,RSI (49.6) is below the threshold (50),true,34.28,34.04,Current price ($34.28) is above last week's close ($34.04),false,0.95,0.79,3-day ATR (0.95) is higher than 6-day ATR (0.79),2025-06-04T19:39:50,0
AES,10.20,3,"19,330,781",false,10.20,10.51,Price ($10.20) is below the 20-day EMA ($10.51),false,10.20,11.27,Price ($10.20) is below the 100-day EMA ($11.27),true,44.7,50.0,RSI (44.7) is below the threshold (50),true,10.20,10.09,Current price ($10.20) is above last week's close ($10.09),true,0.28,0.34,3-day ATR (0.28) is lower than 6-day ATR (0.34),2025-06-04T19:39:52,0
BSX,102.94,2,"6,794,793",false,102.94,103.85,Price ($102.94) is below the 20-day EMA ($103.85),true,102.94,100.13,Price ($102.94) is above the 100-day EMA ($100.13),true,41.8,50.0,RSI (41.8) is below the threshold (50),false,102.94,105.26,Current price ($102.94) is below last week's close ($105.26),false,1.79,1.74,3-day ATR (1.79) is higher than 6-day ATR (1.74),2025-06-04T19:28:44,0
PDD,99.93,3,"14,165,160",false,99.93,106.14,Price ($99.93) is below the 20-day EMA ($106.14),false,99.93,109.87,Price ($99.93) is below the 100-day EMA ($109.87),true,39.5,50.0,RSI (39.5) is below the threshold (50),true,99.93,96.51,Current price ($99.93) is above last week's close ($96.51),true,2.72,3.33,3-day ATR (2.72) is lower than 6-day ATR (3.33),2025-06-04T19:28:45,0
PANW,193.82,4,"6,799,219",true,193.82,189.32,Price ($193.82) is above the 20-day EMA ($189.32),true,193.82,184.81,Price ($193.82) is above the 100-day EMA ($184.81),false,59.5,50.0,RSI (59.5) is above the threshold (50),true,193.82,192.42,Current price ($193.82) is above last week's close ($192.42),true,3.69,4.44,3-day ATR (3.69) is lower than 6-day ATR (4.44),2025-06-04T19:28:46,0
UNP,221.75,2,"3,463,083",false,221.75,222.57,Price ($221.75) is below the 20-day EMA ($222.57),false,221.75,228.28,Price ($221.75) is below the 100-day EMA ($228.28),true,46.3,50.0,RSI (46.3) is below the threshold (50),true,221.75,221.66,Current price ($221.75) is above last week's close ($221.66),false,3.96,3.58,3-day ATR (3.96) is higher than 6-day ATR (3.58),2025-06-04T19:28:47,0
JPM,264.61,3,"6,625,583",true,264.61,260.68,Price ($264.61) is above the 20-day EMA ($260.68),true,264.61,250.97,Price ($264.61) is above the 100-day EMA ($250.97),false,59.4,50.0,RSI (59.4) is above the threshold (50),true,264.61,264.00,Current price ($264.61) is above last week's close ($264.00),false,3.22,3.16,3-day ATR (3.22) is higher than 6-day ATR (3.16),2025-06-04T19:28:48,0
DELL,112.72,4,"7,668,955",true,112.72,108.28,Price ($112.72) is above the 20-day EMA ($108.28),true,112.72,104.56,Price ($112.72) is above the 100-day EMA ($104.56),false,57.0,50.0,RSI (57.0) is above the threshold (50),true,112.72,111.27,Current price ($112.72) is above last week's close ($111.27),true,4.22,4.43,3-day ATR (4.22) is lower than 6-day ATR (4.43),2025-06-04T19:28:48,0
WMT,99.52,3,"15,494,304",true,99.52,97.56,Price ($99.52) is above the 20-day EMA ($97.56),true,99.52,93.89,Price ($99.52) is above the 100-day EMA ($93.89),false,66.8,50.0,RSI (66.8) is above the threshold (50),true,99.52,98.72,Current price ($99.52) is above last week's close ($98.72),false,1.61,1.54,3-day ATR (1.61) is higher than 6-day ATR (1.54),2025-06-04T19:28:50,0
GOOG,169.21,3,"28,604,130",true,169.21,167.80,Price ($169.21) is above the 20-day EMA ($167.80),false,169.21,169.78,Price ($169.21) is below the 100-day EMA ($169.78),true,48.8,50.0,RSI (48.8) is below the threshold (50),false,169.21,172.85,Current price ($169.21) is below last week's close ($172.85),true,3.25,3.63,3-day ATR (3.25) is lower than 6-day ATR (3.63),2025-06-04T19:28:56,0
AFL,103.31,2,"1,877,253",false,103.31,104.33,Price ($103.31) is below the 20-day EMA ($104.33),false,103.31,106.30,Price ($103.31) is below the 100-day EMA ($106.30),true,48.8,50.0,RSI (48.7) is below the threshold (50),false,103.31,103.54,Current price ($103.31) is below last week's close ($103.54),true,1.65,1.66,3-day ATR (1.65) is lower than 6-day ATR (1.65),2025-06-04T19:32:22,0
BDX,171.47,1,"2,319,705",false,171.47,175.34,Price ($171.47) is below the 20-day EMA ($175.34),false,171.47,202.17,Price ($171.47) is below the 100-day EMA ($202.17),true,44.9,50.0,RSI (44.9) is below the threshold (50),false,171.47,172.59,Current price ($171.47) is below last week's close ($172.59),false,3.44,3.10,3-day ATR (3.44) is higher than 6-day ATR (3.10),2025-06-04T19:32:39,0
EW,78.21,3,"4,453,723",true,78.21,76.51,Price ($78.21) is above the 20-day EMA ($76.51),true,78.21,73.38,Price ($78.21) is above the 100-day EMA ($73.38),false,60.3,50.0,RSI (60.3) is above the threshold (50),false,78.21,78.22,Current price ($78.21) is below last week's close ($78.22),true,1.54,1.68,3-day ATR (1.54) is lower than 6-day ATR (1.68),2025-06-04T19:33:08,0
LHX,242.82,3,"2,218,119",true,242.82,234.81,Price ($242.82) is above the 20-day EMA ($234.81),true,242.82,222.39,Price ($242.82) is above the 100-day EMA ($222.39),false,65.2,50.0,RSI (65.2) is above the threshold (50),false,242.82,244.34,Current price ($242.82) is below last week's close ($244.34),true,3.21,3.80,3-day ATR (3.21) is lower than 6-day ATR (3.80),2025-06-04T19:33:26,0
PCAR,92.76,1,"2,087,973",false,92.76,93.54,Price ($92.76) is below the 20-day EMA ($93.54),false,92.76,98.13,Price ($92.76) is below the 100-day EMA ($98.13),true,45.8,50.0,RSI (45.8) is below the threshold (50),false,92.76,93.85,Current price ($92.76) is below last week's close ($93.85),false,2.06,1.77,3-day ATR (2.06) is higher than 6-day ATR (1.77),2025-06-04T19:33:42,0
TKO,165.44,3,"945,034",true,165.44,160.41,Price ($165.44) is above the 20-day EMA ($160.41),true,165.44,153.34,Price ($165.44) is above the 100-day EMA ($153.34),false,66.3,50.0,RSI (66.4) is above the threshold (50),true,165.44,157.81,Current price ($165.44) is above last week's close ($157.81),false,4.06,3.50,3-day ATR (4.06) is higher than 6-day ATR (3.50),2025-06-04T19:34:12,0
PNW,89.95,2,"842,155",false,89.95,91.19,Price ($89.95) is below the 20-day EMA ($91.19),false,89.95,91.37,Price ($89.95) is below the 100-day EMA ($91.37),true,45.4,50.0,RSI (45.4) is below the threshold (50),false,89.95,91.23,Current price ($89.95) is below last week's close ($91.23),true,1.37,1.39,3-day ATR (1.37) is lower than 6-day ATR (1.39),2025-06-04T19:39:35,0
INCY,67.52,3,"2,044,892",true,67.52,64.18,Price ($67.52) is above the 20-day EMA ($64.18),true,67.52,65.32,Price ($67.52) is above the 100-day EMA ($65.32),false,69.1,50.0,RSI (69.1) is above the threshold (50),true,67.52,65.06,Current price ($67.52) is above last week's close ($65.06),false,3.48,2.49,3-day ATR (3.48) is higher than 6-day ATR (2.49),2025-06-04T19:39:38,0
BXP,71.48,3,"1,461,390",true,71.48,67.20,Price ($71.48) is above the 20-day EMA ($67.20),true,71.48,68.20,Price ($71.48) is above the 100-day EMA ($68.20),false,71.2,50.0,RSI (71.2) is above the threshold (50),true,71.48,67.33,Current price ($71.48) is above last week's close ($67.33),false,2.48,1.99,3-day ATR (2.48) is higher than 6-day ATR (1.99),2025-06-04T19:39:44,0
HAS,65.67,4,"1,498,828",true,65.67,65.07,Price ($65.67) is above the 20-day EMA ($65.07),true,65.67,61.56,Price ($65.67) is above the 100-day EMA ($61.56),true,46.6,50.0,RSI (46.6) is below the threshold (50),false,65.67,66.71,Current price ($65.67) is below last week's close ($66.71),true,1.18,1.31,3-day ATR (1.18) is lower than 6-day ATR (1.31),2025-06-04T19:39:46,0
RTX,138.54,4,"4,632,331",true,138.54,133.96,Price ($138.54) is above the 20-day EMA ($133.96),true,138.54,128.41,Price ($138.54) is above the 100-day EMA ($128.41),false,69.0,50.0,RSI (69.0) is above the threshold (50),true,138.54,136.48,Current price ($138.54) is above last week's close ($136.48),true,1.94,2.67,3-day ATR (1.94) is lower than 6-day ATR (2.67),2025-06-04T19:28:44,0
EQR,69.00,1,"1,814,337",false,69.00,69.50,Price ($69.00) is below the 20-day EMA ($69.50),false,69.00,70.15,Price ($69.00) is below the 100-day EMA ($70.15),true,44.4,50.0,RSI (44.4) is below the threshold (50),false,69.00,70.14,Current price ($69.00) is below last week's close ($70.14),false,1.39,1.27,3-day ATR (1.39) is higher than 6-day ATR (1.27),2025-06-04T19:36:23,0
SYK,383.36,4,"1,148,763",true,383.36,381.02,Price ($383.36) is above the 20-day EMA ($381.02),true,383.36,376.69,Price ($383.36) is above the 100-day EMA ($376.69),false,51.5,50.0,RSI (51.5) is above the threshold (50),true,383.36,382.64,Current price ($383.36) is above last week's close ($382.64),true,4.95,5.39,3-day ATR (4.95) is lower than 6-day ATR (5.39),2025-06-04T19:28:45,0
UPS,98.55,2,"4,565,842",true,98.55,97.83,Price ($98.55) is above the 20-day EMA ($97.83),false,98.55,107.70,Price ($98.55) is below the 100-day EMA ($107.70),false,56.2,50.0,RSI (56.2) is above the threshold (50),true,98.55,97.54,Current price ($98.55) is above last week's close ($97.54),false,1.59,1.56,3-day ATR (1.59) is higher than 6-day ATR (1.56),2025-06-04T19:28:46,0
WFC,75.86,3,"13,508,527",true,75.86,74.04,Price ($75.86) is above the 20-day EMA ($74.04),true,75.86,72.66,Price ($75.86) is above the 100-day EMA ($72.66),false,64.0,50.0,RSI (64.0) is above the threshold (50),true,75.86,74.78,Current price ($75.86) is above last week's close ($74.78),false,2.04,1.66,3-day ATR (2.04) is higher than 6-day ATR (1.66),2025-06-04T19:28:48,0
CSCO,64.62,4,"15,659,760",true,64.62,62.57,Price ($64.62) is above the 20-day EMA ($62.57),true,64.62,60.44,Price ($64.62) is above the 100-day EMA ($60.44),false,66.6,50.0,RSI (66.6) is above the threshold (50),true,64.62,63.04,Current price ($64.62) is above last week's close ($63.04),true,0.82,0.89,3-day ATR (0.82) is lower than 6-day ATR (0.89),2025-06-04T19:28:48,0
COF,192.81,3,"4,931,543",true,192.81,190.30,Price ($192.81) is above the 20-day EMA ($190.30),true,192.81,184.56,Price ($192.81) is above the 100-day EMA ($184.56),false,54.2,50.0,RSI (54.3) is above the threshold (50),true,192.81,189.15,Current price ($192.81) is above last week's close ($189.15),false,4.99,4.29,3-day ATR (4.99) is higher than 6-day ATR (4.29),2025-06-04T19:28:49,0
FITB,38.48,2,"3,697,546",true,38.48,38.05,Price ($38.48) is above the 20-day EMA ($38.05),false,38.48,39.48,Price ($38.48) is below the 100-day EMA ($39.48),false,55.6,50.0,RSI (55.6) is above the threshold (50),true,38.48,38.19,Current price ($38.48) is above last week's close ($38.19),false,0.90,0.71,3-day ATR (0.90) is higher than 6-day ATR (0.71),2025-06-04T19:37:54,0
FTV,72.03,2,"3,521,593",true,72.03,70.83,Price ($72.03) is above the 20-day EMA ($70.83),false,72.03,72.46,Price ($72.03) is below the 100-day EMA ($72.46),false,56.8,50.0,RSI (56.8) is above the threshold (50),true,72.03,70.19,Current price ($72.03) is above last week's close ($70.19),false,1.81,1.66,3-day ATR (1.81) is higher than 6-day ATR (1.66),2025-06-04T19:38:04,0
EIX,55.22,2,"2,735,639",false,55.22,56.25,Price ($55.22) is below the 20-day EMA ($56.25),false,55.22,59.82,Price ($55.22) is below the 100-day EMA ($59.82),true,46.1,50.0,RSI (46.1) is below the threshold (50),false,55.22,55.65,Current price ($55.22) is below last week's close ($55.65),true,1.13,1.30,3-day ATR (1.13) is lower than 6-day ATR (1.30),2025-06-04T19:38:13,0
MET,79.06,2,"2,748,439",true,79.06,78.50,Price ($79.06) is above the 20-day EMA ($78.50),false,79.06,79.42,Price ($79.06) is below the 100-day EMA ($79.42),false,55.5,50.0,RSI (55.5) is above the threshold (50),true,79.06,78.58,Current price ($79.06) is above last week's close ($78.58),false,1.46,1.35,3-day ATR (1.46) is higher than 6-day ATR (1.35),2025-06-04T19:32:31,0
EOG,111.04,2,"3,126,009",false,111.04,111.69,Price ($111.04) is below the 20-day EMA ($111.69),false,111.04,118.89,Price ($111.04) is below the 100-day EMA ($118.89),true,48.7,50.0,RSI (48.7) is below the threshold (50),true,111.04,108.57,Current price ($111.04) is above last week's close ($108.57),false,3.56,2.90,3-day ATR (3.56) is higher than 6-day ATR (2.90),2025-06-04T19:32:43,0
CPRT,50.63,2,"9,881,138",false,50.63,55.94,Price ($50.63) is below the 20-day EMA ($55.94),false,50.63,57.61,Price ($50.63) is below the 100-day EMA ($57.61),true,19.0,50.0,RSI (19.0) is below the threshold (50),false,50.63,51.48,Current price ($50.63) is below last week's close ($51.48),true,0.97,1.01,3-day ATR (0.97) is lower than 6-day ATR (1.01),2025-06-04T19:33:10,0
ROST,143.14,3,"5,222,198",false,143.14,143.87,Price ($143.14) is below the 20-day EMA ($143.87),true,143.14,141.14,Price ($143.14) is above the 100-day EMA ($141.14),true,49.9,50.0,RSI (49.9) is below the threshold (50),true,143.14,140.09,Current price ($143.14) is above last week's close ($140.09),false,3.23,3.19,3-day ATR (3.23) is higher than 6-day ATR (3.19),2025-06-04T19:33:27,0
VTRS,8.63,1,"20,870,201",true,8.63,8.62,Price ($8.63) is above the 20-day EMA ($8.62),false,8.63,9.44,Price ($8.63) is below the 100-day EMA ($9.44),false,51.0,50.0,RSI (51.0) is above the threshold (50),false,8.63,8.79,Current price ($8.63) is below last week's close ($8.79),false,0.28,0.26,3-day ATR (0.28) is higher than 6-day ATR (0.26),2025-06-04T19:39:49,0
WBA,11.28,4,"13,407,011",true,11.28,11.19,Price ($11.28) is above the 20-day EMA ($11.19),true,11.28,10.77,Price ($11.28) is above the 100-day EMA ($10.77),false,58.6,50.0,RSI (58.6) is above the threshold (50),true,11.28,11.25,Current price ($11.28) is above last week's close ($11.25),true,0.07,0.10,3-day ATR (0.07) is lower than 6-day ATR (0.10),2025-06-04T19:39:50,0
LW,55.41,1,"1,729,061",true,55.41,53.44,Price ($55.41) is above the 20-day EMA ($53.44),false,55.41,56.49,Price ($55.41) is below the 100-day EMA ($56.49),false,65.7,50.0,RSI (65.7) is above the threshold (50),false,55.41,55.78,Current price ($55.41) is below last week's close ($55.78),false,1.61,1.49,3-day ATR (1.61) is higher than 6-day ATR (1.49),2025-06-04T19:39:51,0
OKE,81.02,2,"3,703,354",false,81.02,82.70,Price ($81.02) is below the 20-day EMA ($82.70),false,81.02,91.03,Price ($81.02) is below the 100-day EMA ($91.03),true,45.4,50.0,RSI (45.4) is below the threshold (50),true,81.02,80.84,Current price ($81.02) is above last week's close ($80.84),false,2.68,2.19,3-day ATR (2.68) is higher than 6-day ATR (2.20),2025-06-04T19:32:36,0
TRV,273.08,2,"1,166,428",true,273.08,271.37,Price ($273.08) is above the 20-day EMA ($271.37),true,273.08,260.40,Price ($273.08) is above the 100-day EMA ($260.40),false,54.8,50.0,RSI (54.8) is above the threshold (50),false,273.08,275.70,Current price ($273.08) is below last week's close ($275.70),false,4.89,4.37,3-day ATR (4.89) is higher than 6-day ATR (4.36),2025-06-04T19:32:52,0
TFC,39.59,2,"7,799,888",false,39.59,39.62,Price ($39.59) is below the 20-day EMA ($39.62),false,39.59,41.20,Price ($39.59) is below the 100-day EMA ($41.20),true,49.2,50.0,RSI (49.2) is below the threshold (50),true,39.59,39.50,Current price ($39.59) is above last week's close ($39.50),false,0.71,0.69,3-day ATR (0.71) is higher than 6-day ATR (0.69),2025-06-04T19:33:17,0
FIS,80.37,4,"3,105,702",true,80.37,78.92,Price ($80.37) is above the 20-day EMA ($78.92),true,80.37,77.56,Price ($80.37) is above the 100-day EMA ($77.56),false,59.3,50.0,RSI (59.3) is above the threshold (50),true,80.37,79.61,Current price ($80.37) is above last week's close ($79.61),true,1.54,1.63,3-day ATR (1.54) is lower than 6-day ATR (1.63),2025-06-04T19:33:29,0
DOC,17.16,2,"6,793,141",false,17.16,17.42,Price ($17.16) is below the 20-day EMA ($17.42),false,17.16,18.85,Price ($17.16) is below the 100-day EMA ($18.85),true,45.3,50.0,RSI (45.3) is below the threshold (50),false,17.16,17.41,Current price ($17.16) is below last week's close ($17.41),true,0.32,0.32,3-day ATR (0.32) is lower than 6-day ATR (0.32),2025-06-04T19:39:50,0
SWKS,71.51,4,"4,633,381",true,71.51,69.50,Price ($71.51) is above the 20-day EMA ($69.50),true,71.51,70.42,Price ($71.51) is above the 100-day EMA ($70.42),false,57.3,50.0,RSI (57.3) is above the threshold (50),true,71.51,69.03,Current price ($71.51) is above last week's close ($69.03),true,1.84,1.87,3-day ATR (1.84) is lower than 6-day ATR (1.87),2025-06-04T19:39:51,0
CMCSA,34.64,2,"19,646,869",false,34.64,34.66,Price ($34.64) is below the 20-day EMA ($34.66),false,34.64,35.84,Price ($34.64) is below the 100-day EMA ($35.84),false,52.1,50.0,RSI (52.1) is above the threshold (50),true,34.64,34.57,Current price ($34.64) is above last week's close ($34.57),true,0.55,0.64,3-day ATR (0.55) is lower than 6-day ATR (0.64),2025-06-04T19:28:44,0
SO,88.90,2,"5,399,441",false,88.90,89.39,Price ($88.90) is below the 20-day EMA ($89.39),true,88.90,88.74,Price ($88.90) is above the 100-day EMA ($88.74),false,50.9,50.0,RSI (50.9) is above the threshold (50),false,88.90,90.00,Current price ($88.90) is below last week's close ($90.00),true,1.23,1.52,3-day ATR (1.23) is lower than 6-day ATR (1.52),2025-06-04T19:28:45,0
KR,66.63,2,"7,022,496",false,66.63,68.41,Price ($66.63) is below the 20-day EMA ($68.41),true,66.63,66.56,Price ($66.63) is above the 100-day EMA ($66.56),true,40.5,50.0,RSI (40.5) is below the threshold (50),false,66.63,68.23,Current price ($66.63) is below last week's close ($68.23),false,1.42,1.39,3-day ATR (1.42) is higher than 6-day ATR (1.39),2025-06-04T19:33:53,0
NDAQ,84.12,3,"3,064,785",true,84.12,81.55,Price ($84.12) is above the 20-day EMA ($81.55),true,84.12,78.48,Price ($84.12) is above the 100-day EMA ($78.48),false,69.6,50.0,RSI (69.6) is above the threshold (50),true,84.12,83.54,Current price ($84.12) is above last week's close ($83.54),false,1.01,0.96,3-day ATR (1.01) is higher than 6-day ATR (0.96),2025-06-04T19:34:26,0
DRI,216.73,3,"1,441,822",true,216.73,209.61,Price ($216.73) is above the 20-day EMA ($209.61),true,216.73,197.33,Price ($216.73) is above the 100-day EMA ($197.33),false,70.3,50.0,RSI (70.3) is above the threshold (50),true,216.73,214.21,Current price ($216.73) is above last week's close ($214.21),false,3.50,3.18,3-day ATR (3.50) is higher than 6-day ATR (3.18),2025-06-04T19:36:44,0
FE,41.05,2,"3,547,808",false,41.05,41.83,Price ($41.05) is below the 20-day EMA ($41.83),false,41.05,41.16,Price ($41.05) is below the 100-day EMA ($41.16),true,40.2,50.0,RSI (40.3) is below the threshold (50),false,41.05,41.94,Current price ($41.05) is below last week's close ($41.94),true,0.59,0.72,3-day ATR (0.59) is lower than 6-day ATR (0.72),2025-06-04T19:37:58,0
AMCR,9.10,2,"27,319,727",false,9.10,9.17,Price ($9.10) is below the 20-day EMA ($9.17),false,9.10,9.52,Price ($9.10) is below the 100-day EMA ($9.52),true,49.5,50.0,RSI (49.5) is below the threshold (50),false,9.10,9.11,Current price ($9.10) is below last week's close ($9.11),true,0.13,0.14,3-day ATR (0.13) is lower than 6-day ATR (0.14),2025-06-04T19:38:05,0
FOX,49.53,3,"1,573,676",false,49.53,49.89,Price ($49.53) is below the 20-day EMA ($49.89),true,49.53,48.33,Price ($49.53) is above the 100-day EMA ($48.33),true,44.1,50.0,RSI (44.2) is below the threshold (50),false,49.53,50.28,Current price ($49.53) is below last week's close ($50.28),true,1.14,1.18,3-day ATR (1.14) is lower than 6-day ATR (1.18),2025-06-04T19:38:13,0
SW,42.83,2,"2,848,195",false,42.83,43.60,Price ($42.83) is below the 20-day EMA ($43.60),false,42.83,46.15,Price ($42.83) is below the 100-day EMA ($46.15),true,43.7,50.0,RSI (43.7) is below the threshold (50),false,42.83,43.33,Current price ($42.83) is below last week's close ($43.33),true,0.98,1.03,3-day ATR (0.98) is lower than 6-day ATR (1.03),2025-06-04T19:38:20,0
