symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
BALL,53.23,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:57,0
HOLX,62.77,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:07,0
MAS,62.84,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:17,0
SOLV,75.38,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:19,0
SJM,110.81,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:30,0
CHRW,96.02,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:33,0
AKAM,76.54,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:43,0
ROST,141.29,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:52,0
CTRA,24.75,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:17,0
EW,77.86,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:52,0
KR,66.14,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:05,0
SLB,33.08,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:07,0
GLW,50.63,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:14,0
CCEP,91.72,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:20,0
LYB,55.94,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:19,0
DDOG,122.58,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:31,0
VLO,126.32,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:36,0
CTSH,79.48,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:43,0
CFG,40.03,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:29,0
KEY,15.84,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:35,0
HAL,20.04,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:42,0
BAX,30.04,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:52,0
FANG,137.14,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:49,0
HIG,127.04,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:51:57,0
EA,147.49,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:07,0
ETR,81.59,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:11,0
WEC,105.10,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:19,0
VICI,31.21,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:26,0
BRO,109.27,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:31,0
KHC,26.48,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:52:38,0
EVRG,64.89,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:56,0
OMC,70.40,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:07,0
UDR,40.93,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:09,0
TXT,74.43,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:17,0
JNPR,35.96,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:30,0
MOS,36.50,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:32,0
CAG,22.22,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:56:43,0
